id,College,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
52,E006 M S Ramaiah Institute of Technology Bangalore,"ET Elec.
Telecommn. Engg.",999999999,999999999,999999999,31995,999999999,75593,52418,999999999,999999999,25125,999999999,999999999,22875,999999999,999999999,18216,67718,43751,54524,999999999,136880,999999999,999999999,999999999
53,E006 M S Ramaiah Institute of Technology Bangalore,IE Info.Science,7166,999999999,999999999,6024,8157,7947,4279,999999999,999999999,4276,999999999,5124,4425,10572,7395,3117,6533,4073,18238,999999999,29473,7592,999999999,999999999
54,E006 M S Ramaiah Institute of Technology Bangalore,IM Ind. Engg. Mgmt.,84575,999999999,999999999,164969,999999999,999999999,128350,999999999,999999999,87161,999999999,999999999,123453,999999999,999999999,81141,999999999,114279,114110,999999999,999999999,999999999,999999999,999999999
55,E006 M S Ramaiah Institute of Technology Bangalore,MD Med.Elect.,62384,999999999,999999999,123855,999999999,999999999,105834,999999999,999999999,49142,999999999,999999999,91914,999999999,999999999,35656,86414,141439,138386,999999999,999999999,999999999,999999999,999999999
56,E006 M S Ramaiah Institute of Technology Bangalore,ME Mechanical,99890,999999999,999999999,111127,999999999,172724,112037,999999999,999999999,48322,999999999,999999999,84559,999999999,98861,45934,73919,95003,156827,999999999,999999999,88832,999999999,999999999
57,E007 Dayananda Sagar College of Engineering  Bangalore,AE Aeronaut.Engg,40442,999999999,999999999,34819,999999999,96151,34215,999999999,999999999,26817,999999999,999999999,34263,999999999,999999999,20457,49102,30732,73523,999999999,152736,999999999,999999999,999999999
58,E007 Dayananda Sagar College of Engineering  Bangalore,"AI Artificial
Intelligence",12196,999999999,999999999,15467,999999999,999999999,12276,999999999,999999999,999999999,999999999,999999999,8522,28293,999999999,7916,11233,12569,23720,999999999,999999999,14397,999999999,38774
59,E007 Dayananda Sagar College of Engineering  Bangalore,AU Automobile,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,169679,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
60,E007 Dayananda Sagar College of Engineering  Bangalore,BT Bio Technology,139704,999999999,999999999,92079,999999999,999999999,95982,999999999,999999999,45789,999999999,999999999,96026,999999999,999999999,40221,999999999,126247,141488,999999999,999999999,83761,999999999,999999999
61,E007 Dayananda Sagar College of Engineering  Bangalore,"CB Comp. Sc. and
Bus Sys.",14771,999999999,999999999,17128,30774,33893,16468,999999999,999999999,15870,999999999,999999999,999999999,999999999,999999999,12811,999999999,23942,61025,999999999,999999999,41845,999999999,999999999
62,E007 Dayananda Sagar College of Engineering  Bangalore,"CD Computer Sc.
and Design",13100,999999999,999999999,20181,999999999,30476,23897,999999999,999999999,20100,999999999,999999999,999999999,999999999,999999999,12944,37911,26757,34513,999999999,42404,22169,999999999,999999999
63,E007 Dayananda Sagar College of Engineering  Bangalore,CE Civil,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,173482,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
64,E007 Dayananda Sagar College of Engineering  Bangalore,CH Chemical,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,169449,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
