id,college,branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
40,E005 R. V. College of Engineering Bangalore,SE,3258,999999999,999999999,3048,999999999,17397,5856,999999999,999999999,2440,999999999,999999999,5134,15520,999999999,2153,999999999,9431,15879,999999999,41566,999999999,999999999,999999999
41,E006 M S Ramaiah Institute of Technology Bangalore,AD,3658,999999999,8384,3899,999999999,999999999,999999999,999999999,999999999,3358,999999999,999999999,2725,999999999,999999999,2233,10151,4120,15859,49552,999999999,9706,999999999,999999999
42,E006 M S Ramaiah Institute of Technology Bangalore,AI,3432,999999999,999999999,5047,999999999,9976,3952,999999999,999999999,2303,999999999,999999999,2652,999999999,999999999,2124,7556,4081,15084,999999999,20775,7592,999999999,999999999
43,E006 M S Ramaiah Institute of Technology Bangalore,BT,19322,999999999,110242,20541,999999999,999999999,30954,999999999,999999999,13204,999999999,999999999,16015,999999999,999999999,9284,999999999,17735,33641,999999999,999999999,999999999,999999999,999999999
44,E006 M S Ramaiah Institute of Technology Bangalore,CA,3086,999999999,999999999,3054,16997,6030,5492,999999999,15261,1632,999999999,999999999,2430,999999999,999999999,1223,999999999,2243,10005,999999999,999999999,8554,999999999,999999999
45,E006 M S Ramaiah Institute of Technology Bangalore,CE,43516,999999999,69974,62524,999999999,89193,50728,999999999,78695,42425,999999999,999999999,47520,999999999,999999999,39775,46447,58996,72734,88610,80924,49944,999999999,999999999
46,E006 M S Ramaiah Institute of Technology Bangalore,CH,999999999,999999999,999999999,48684,999999999,999999999,36986,999999999,999999999,999999999,999999999,999999999,33657,999999999,999999999,23930,33161,35284,44589,146533,999999999,86186,999999999,87079
47,E006 M S Ramaiah Institute of Technology Bangalore,CS,1824,999999999,999999999,1764,3733,1974,1135,999999999,999999999,1328,3596,1685,1318,999999999,1515,827,1373,1501,3941,999999999,4728,1021,999999999,999999999
48,E006 M S Ramaiah Institute of Technology Bangalore,CY,3241,999999999,999999999,3635,999999999,999999999,5763,999999999,999999999,2196,999999999,999999999,1927,999999999,999999999,1840,999999999,4257,15910,999999999,19652,7879,30567,12483
49,E006 M S Ramaiah Institute of Technology Bangalore,EC,5376,12109,999999999,5323,6894,8190,8921,999999999,999999999,3816,999999999,7118,3895,999999999,6378,3020,6769,5588,16210,999999999,30637,9320,999999999,999999999
50,E006 M S Ramaiah Institute of Technology Bangalore,EE,11516,999999999,999999999,11671,999999999,21902,999999999,999999999,999999999,10112,999999999,999999999,12763,999999999,999999999,8465,28501,16497,22522,999999999,46907,15332,999999999,999999999
51,E006 M S Ramaiah Institute of Technology Bangalore,EI,999999999,999999999,999999999,22887,999999999,34744,20572,999999999,999999999,999999999,999999999,999999999,14209,999999999,999999999,11470,18603,28108,58857,999999999,140192,33983,999999999,999999999
52,E006 M S Ramaiah Institute of Technology Bangalore,ET,999999999,999999999,999999999,19677,999999999,34603,14064,999999999,999999999,10761,999999999,999999999,9455,999999999,999999999,7449,33689,15973,50700,999999999,54524,999999999,999999999,999999999
53,E006 M S Ramaiah Institute of Technology Bangalore,IE,4167,999999999,999999999,3083,8157,3346,3897,999999999,999999999,2039,999999999,2898,2096,6533,3442,1534,4315,2865,11743,999999999,16831,6946,999999999,999999999
54,E006 M S Ramaiah Institute of Technology Bangalore,IM,44327,999999999,999999999,49101,999999999,74026,81530,999999999,999999999,42632,999999999,999999999,49759,999999999,999999999,42492,86274,53079,98958,999999999,999999999,999999999,999999999,999999999
55,E006 M S Ramaiah Institute of Technology Bangalore,MD,62384,999999999,999999999,40800,999999999,131357,38171,999999999,999999999,32881,999999999,999999999,35656,999999999,999999999,18041,86414,41538,66956,999999999,136880,999999999,999999999,999999999
56,E006 M S Ramaiah Institute of Technology Bangalore,ME,45327,999999999,999999999,46966,999999999,51953,38070,999999999,88173,33439,999999999,999999999,37807,999999999,50764,29510,62946,45802,72879,103397,85008,65117,999999999,999999999
